Model,Accuracy,Precision (Macro),Recall (Macro),F1-Score (Macro),ROC AUC (Macro)
KNN,0.6627,0.4891,0.4550,0.4539,0.7727
CatBoost,0.6699,0.5359,0.6068,0.5451,0.8734
