start_date,end_date,county,state_name,state_code,district_name,district_code,county_name,county_code,mint,mint_pct,mint_dv,mint_ly,mint_5y,avgt,avgt_pct,avgt_dv,avgt_ly,avgt_5y,maxt,maxt_pct,maxt_dv,maxt_ly,maxt_5y,ampt,ampt_pct,ampt_dv,ampt_ly,ampt_5y,nigt_b20,nigt_b20_pct,nigt_b20_dv,nigt_b20_ly,nigt_b20_5y,nigt_b20_days,nigt_b22,nigt_b22_pct,nigt_b22_dv,nigt_b22_ly,nigt_b22_5y,nigt_b22_days,nigt_b23,nigt_b23_pct,nigt_b23_dv,nigt_b23_ly,nigt_b23_5y,nigt_b23_days,nigt_b26,nigt_b26_pct,nigt_b26_dv,nigt_b26_ly,nigt_b26_5y,nigt_b26_days,nigt_obsd_pct,totr,totr_pct,totr_dv,totr_ly,totr_5y,gdd_b155,gdd_b155_pct,gdd_b155_dv,gdd_b155_ly,gdd_b155_5y,gdd_b10,gdd_b10_pct,gdd_b10_dv,gdd_b10_ly,gdd_b10_5y,gdd_b44,gdd_b44_pct,gdd_b44_dv,gdd_b44_ly,gdd_b44_5y,kdd_b27,kdd_b27_pct,kdd_b27_dv,kdd_b27_ly,kdd_b27_5y,kdd_b30,kdd_b30_pct,kdd_b30_dv,kdd_b30_ly,kdd_b30_5y,kdd_b32,kdd_b32_pct,kdd_b32_dv,kdd_b32_ly,kdd_b32_5y,kdd_b33,kdd_b33_pct,kdd_b33_dv,kdd_b33_ly,kdd_b33_5y,kdd_b36,kdd_b36_pct,kdd_b36_dv,kdd_b36_ly,kdd_b36_5y,arid,arid_pct,arid_dv,arid_ly,arid_5y,arid_acc,arid_acc_pct,arid_acc_dv,arid_acc_ly,arid_acc_5y,source_file
2012-05-10,2012-05-17,USNY36091,New York,36,Eastern,60,Saratoga,91,47.5,77.2,3.2,47.4,48.3,57.8,72.7,2.1,56.5,60.1,68.2,56.8,1.0,65.7,71.9,20.6,34.0,-2.2,18.2,23.5,1.4,35.7,-10.4,1.3,23.8,2.0,0.0,35.7,-2.9,0.1,7.0,1.0,0.0,35.7,-1.3,0.0,3.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,86.3,0.89,1.81,0.86,10.6,68.1,-0.1,1.4,27.2,64.9,72.7,11.8,52.6,83.2,143.0,72.7,17.3,132.5,160.7,0.0,0.0,-1.3,0.0,2.2,0.0,0.0,-0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.01,11.3,-0.29,0.09,0.37,0.09,11.3,-2.33,0.78,3.0,2012NY11.json
2012-05-10,2012-05-17,USNY36093,New York,36,Eastern,60,Schenectady,93,48.0,72.7,2.9,47.6,49.1,58.7,72.7,2.4,56.7,60.8,69.3,61.3,1.9,65.7,72.6,21.2,40.9,-1.0,18.0,23.5,2.2,35.7,-9.5,1.5,20.3,2.0,0.1,42.8,-2.8,0.1,5.4,1.0,0.0,0.0,-1.3,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,79.5,0.84,1.67,0.99,11.6,65.9,-0.3,0.7,29.3,71.8,72.7,15.3,53.6,88.0,149.8,72.7,19.6,133.6,166.3,0.0,0.0,-1.2,0.0,1.2,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13.6,-0.3,0.06,0.35,0.07,13.6,-2.46,0.5,2.8,2012NY11.json
2012-05-10,2012-05-17,USNY36095,New York,36,Eastern,60,Schoharie,95,44.9,70.4,2.9,44.4,45.9,56.5,75.0,2.8,54.5,57.5,68.2,63.6,2.6,64.7,69.3,23.3,47.7,-0.2,20.3,23.3,0.0,42.8,-4.1,0.0,5.2,1.0,0.0,0.0,-0.7,0.0,0.8,0.0,0.0,0.0,-0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,72.7,0.43,1.09,0.88,5.7,65.9,-1.9,0.0,16.8,59.4,75.0,17.2,37.3,64.3,132.7,75.0,22.0,116.7,140.5,0.0,0.0,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.02,22.7,-0.26,0.04,0.36,0.21,22.7,-2.13,0.34,2.91,2012NY11.json
2012-05-10,2012-05-17,USNY36097,New York,36,Southern,80,Schuyler,97,45.0,70.4,1.9,45.6,48.5,57.1,65.9,2.4,56.2,59.1,69.2,63.6,2.8,66.7,69.9,24.1,56.8,0.9,21.0,21.3,0.0,35.7,-8.4,7.6,11.8,1.0,0.0,0.0,-2.2,1.5,2.9,0.0,0.0,0.0,-1.0,0.3,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,29.5,-0.65,1.06,0.64,7.3,50.0,-3.9,12.5,21.6,61.5,68.1,11.8,54.3,76.7,137.0,65.9,18.7,129.8,153.1,0.0,0.0,-1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.23,38.6,-0.09,0.09,0.35,1.85,38.6,-0.73,0.79,2.83,2012NY11.json
2012-05-10,2012-05-17,USNY36099,New York,36,Western,40,Seneca,99,49.0,72.7,2.6,48.6,51.6,59.7,77.2,2.8,58.0,61.3,70.4,65.9,3.0,67.4,71.2,21.4,54.5,0.4,18.7,19.5,3.1,42.8,-10.0,9.1,20.1,3.0,0.0,35.7,-3.9,1.7,6.2,1.0,0.0,0.0,-1.9,0.5,3.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.14,11.3,-0.85,1.18,0.52,18.1,63.6,1.0,19.0,31.5,78.8,72.7,15.9,66.3,92.4,158.3,77.2,23.0,144.5,170.9,0.0,0.0,-1.6,0.0,0.7,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.12,29.5,-0.2,0.11,0.4,0.98,29.5,-1.65,0.93,3.2,2012NY11.json
2012-05-10,2012-05-17,USNY36101,New York,36,Southwest,70,Steuben,101,43.2,63.6,1.4,44.5,46.8,56.4,63.6,2.1,56.0,58.4,69.5,63.6,2.9,67.5,70.3,26.3,61.3,1.4,23.0,23.4,0.1,35.7,-7.4,3.5,9.8,1.0,0.0,0.0,-1.7,0.1,2.4,0.0,0.0,0.0,-0.7,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,20.4,-0.77,1.28,0.52,5.2,52.2,-4.8,12.2,18.4,55.9,65.9,9.2,52.8,72.2,131.4,63.6,16.9,128.4,148.2,0.0,0.0,-1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.31,52.2,-0.01,0.1,0.4,2.53,52.2,-0.11,0.86,3.26,2012NY11.json
2012-05-10,2012-05-17,USNY36103,New York,36,Long Island,91,Suffolk,103,54.2,93.1,5.3,51.1,52.5,61.4,81.8,4.1,57.9,60.2,68.7,75.0,3.0,64.6,68.1,14.4,22.7,-2.3,13.5,15.5,0.0,0.0,-1.2,0.0,1.6,0.0,0.0,0.0,-0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,84.0,0.61,0.89,0.96,20.4,79.5,10.6,1.0,18.2,91.9,81.8,31.7,63.4,82.7,171.9,81.8,33.4,143.4,162.2,0.0,0.0,-0.2,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.5,-0.24,0.3,0.27,0.01,4.5,-1.94,2.41,2.22,2012NY11.json
2012-05-10,2012-05-17,USNY36105,New York,36,Southeast,90,Sullivan,105,45.6,72.7,2.9,46.5,47.0,56.6,72.7,2.2,56.4,57.5,67.5,56.8,1.5,66.3,68.3,21.8,36.3,-1.3,19.7,21.3,1.1,50.0,-1.9,0.2,2.3,3.0,0.0,50.0,-0.5,0.0,0.1,2.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89,90.9,1.61,0.91,1.18,5.8,61.3,-2.4,1.2,14.0,60.1,79.5,14.6,51.9,64.4,132.9,72.7,17.4,131.7,140.6,0.0,65.9,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,15.9,-0.21,0.1,0.24,0.03,15.9,-1.74,0.87,1.94,2012NY11.json
2012-05-10,2012-05-17,USNY36107,New York,36,Southern,80,Tioga,107,44.6,63.6,1.5,46.5,46.9,56.3,65.9,1.6,56.3,58.1,67.9,56.8,1.6,66.2,69.5,23.2,47.7,0.1,19.6,22.6,1.0,35.7,-8.6,1.9,10.7,2.0,0.0,0.0,-2.3,0.0,2.2,0.0,0.0,0.0,-0.9,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,65.9,0.11,1.27,0.78,4.1,45.4,-6.2,7.2,18.0,56.8,70.4,8.0,52.2,69.4,130.5,65.9,12.3,130.9,145.3,0.0,0.0,-0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.01,18.1,-0.27,0.08,0.35,0.1,18.1,-2.16,0.7,2.84,2012NY11.json
2012-05-10,2012-05-17,USNY36109,New York,36,Southern,80,Tompkins,109,45.6,65.9,1.6,46.8,48.2,56.8,65.9,1.9,56.2,58.6,67.9,61.3,2.2,65.7,69.3,22.3,59.0,0.5,18.8,21.0,0.3,35.7,-8.3,2.4,11.3,1.0,0.0,0.0,-2.2,0.4,2.1,0.0,0.0,0.0,-1.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,29.5,-0.58,1.49,0.59,7.4,52.2,-4.3,10.8,21.4,60.1,68.1,9.4,54.2,73.8,134.6,65.9,15.3,130.3,149.6,0.0,0.0,-0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04,27.2,-0.22,0.08,0.36,0.36,27.2,-1.82,0.71,2.93,2012NY11.json
